title,year,journal,authors,doi,labels
Enhancing the performance of conventional coffee beans drying with low-temperature geothermal energy by applying HPHE: An experimental study,2021,Open Agriculture,"Gunawan, Y. and Margono, K.T. and Rizky, R. and Putra, N. and Faqih, R.A. and Hakim, I.I. and Setiadanu, G.T. and Suntoro, D. and Kasbi, S. and Nafis, S.",10.1515/opag-2021-0053,coffee_drying_stage
"Effectiveness of a coffee drying process using solar dryers with a continuous air flow system powered by photovoltaic energy, in the San Martín region, Peru",2019,Informacion Tecnologica,"Prada, Á. and Vela, C.P. and Bardález, G. and Saavedra, J.",10.4067/S0718-07642019000600085,mechanical_drying
"Effectiveness of a coffee drying process using solar dryers with a continuous air flow system powered by photovoltaic energy, in the San Martín region, Peru",2019,Informacion Tecnologica,"Prada, Á. and Vela, C.P. and Bardález, G. and Saavedra, J.",10.4067/S0718-07642019000600085,coffee_drying_stage
Performance Analysis and Kinetic Modeling of Coffee Beans in Microwave Convective Dryer Integrated Photovoltaic System,2022,Mathematical Modelling of Engineering Problems,"Kusmiyati, K. and Fudholi, A.",10.18280/mmep.090427,mechanical_drying
Performance Analysis and Kinetic Modeling of Coffee Beans in Microwave Convective Dryer Integrated Photovoltaic System,2022,Mathematical Modelling of Engineering Problems,"Kusmiyati, K. and Fudholi, A.",10.18280/mmep.090427,coffee_drying_stage
Influence of drying air temperature on coffee quality during storage,2023,Revista Facultad Nacional de Agronomia Medellin,"Peñuela-Martínez, A.E. and Sanz-Uribe, J.R. and Medina-Rivera, R.D.",10.15446/rfnam.v76n3.104115,coffee_quality
Influence of drying air temperature on coffee quality during storage,2023,Revista Facultad Nacional de Agronomia Medellin,"Peñuela-Martínez, A.E. and Sanz-Uribe, J.R. and Medina-Rivera, R.D.",10.15446/rfnam.v76n3.104115,mechanical_drying
Influence of drying air temperature on coffee quality during storage,2023,Revista Facultad Nacional de Agronomia Medellin,"Peñuela-Martínez, A.E. and Sanz-Uribe, J.R. and Medina-Rivera, R.D.",10.15446/rfnam.v76n3.104115,coffee_drying_stage
"Effect of processing and drying methods on biochemical composition of coffee (Coffea arabica L.) varieties in Jimma Zone, Southwestern Ethiopia",2022,Cogent Food and Agriculture,"Eshetu, E.F. and Tolassa, K. and Mohammed, A. and Berecha, G. and Garedew, W.",10.1080/23311932.2022.2121203,coffee_quality
"Effect of processing and drying methods on biochemical composition of coffee (Coffea arabica L.) varieties in Jimma Zone, Southwestern Ethiopia",2022,Cogent Food and Agriculture,"Eshetu, E.F. and Tolassa, K. and Mohammed, A. and Berecha, G. and Garedew, W.",10.1080/23311932.2022.2121203,coffee_drying_stage
Comparative analysis of coffee drying on quality with variations in dryers made solar collectors,2024,AIP Conference Proceedings,"Siagian, P. and Napitupulu, F.H. and Ambarita, H. and Sihombing, H.V. and Siagian, H. and Rahim R. and Kurniawati H. and Radiansyah I.R.",10.1063/5.0202116,coffee_quality
Comparative analysis of coffee drying on quality with variations in dryers made solar collectors,2024,AIP Conference Proceedings,"Siagian, P. and Napitupulu, F.H. and Ambarita, H. and Sihombing, H.V. and Siagian, H. and Rahim R. and Kurniawati H. and Radiansyah I.R.",10.1063/5.0202116,coffee_drying_stage
