title,year,journal,authors,doi,labels
Amino Acid Enriched Proteinous Wastes: Recovery and Reuse in Leather Making,2020,Waste and Biomass Valorization,"Ammasi, R. and Victor, J.S. and Chellan, R. and Chellappa, M.",10.1007/s12649-019-00912-6,Residuos: Residuos sin cromo
Amino Acid Enriched Proteinous Wastes: Recovery and Reuse in Leather Making,2020,Waste and Biomass Valorization,"Ammasi, R. and Victor, J.S. and Chellan, R. and Chellappa, M.",10.1007/s12649-019-00912-6,Tipo de valorización: Valorización biológica
Valorisation of tannery waste and animal by-product for acoustics applications,2021,Journal of the American Leather Chemists Association,"Gebryergs, T. and Sivaranjani, C. and Fathima, N.N.",10.34314/jalca.v116i6.4308,Producto: Materiale
Valorisation of tannery waste and animal by-product for acoustics applications,2021,Journal of the American Leather Chemists Association,"Gebryergs, T. and Sivaranjani, C. and Fathima, N.N.",10.34314/jalca.v116i6.4308,Residuos: Residuos sólidos
Valorisation of tannery waste and animal by-product for acoustics applications,2021,Journal of the American Leather Chemists Association,"Gebryergs, T. and Sivaranjani, C. and Fathima, N.N.",10.34314/jalca.v116i6.4308,Residuos: Residuos con cromo
Valorisation of tannery waste and animal by-product for acoustics applications,2021,Journal of the American Leather Chemists Association,"Gebryergs, T. and Sivaranjani, C. and Fathima, N.N.",10.34314/jalca.v116i6.4308,Tipo de valorización: Reutilización directa
Solid waste collagen-associated fabrication of magnetic hematite nanoparticle@collagen nanobiocomposite for emission-adsorption of dyes,2023,International Journal of Biological Macromolecules,"Roy, C. and Chowdhury, D. and Sanfui, M.H. and Roy, J.S.D. and Mitra, M. and Dutta, A. and Chattopadhyay, P.K. and Singha, N.R.",10.1016/j.ijbiomac.2023.124774,Producto: Materiale
Solid waste collagen-associated fabrication of magnetic hematite nanoparticle@collagen nanobiocomposite for emission-adsorption of dyes,2023,International Journal of Biological Macromolecules,"Roy, C. and Chowdhury, D. and Sanfui, M.H. and Roy, J.S.D. and Mitra, M. and Dutta, A. and Chattopadhyay, P.K. and Singha, N.R.",10.1016/j.ijbiomac.2023.124774,Residuos: Residuos sólidos
Solid waste collagen-associated fabrication of magnetic hematite nanoparticle@collagen nanobiocomposite for emission-adsorption of dyes,2023,International Journal of Biological Macromolecules,"Roy, C. and Chowdhury, D. and Sanfui, M.H. and Roy, J.S.D. and Mitra, M. and Dutta, A. and Chattopadhyay, P.K. and Singha, N.R.",10.1016/j.ijbiomac.2023.124774,Tipo de valorización: Valorización química
Solid waste collagen-associated fabrication of magnetic hematite nanoparticle@collagen nanobiocomposite for emission-adsorption of dyes,2023,International Journal of Biological Macromolecules,"Roy, C. and Chowdhury, D. and Sanfui, M.H. and Roy, J.S.D. and Mitra, M. and Dutta, A. and Chattopadhyay, P.K. and Singha, N.R.",10.1016/j.ijbiomac.2023.124774,Tipo de valorización: Aplicaciones ambientales
Utilization of chromium tanned leather waste in cementitious and gypsum composites for sustainable construction materials,2025,Discover Sustainability,"Litu, M. and Ali, M.F. and Shabur, M.A. and Taimullah, M. and Arnob, F.M.",10.1007/s43621-025-01040-z,Producto: Materiale
Utilization of chromium tanned leather waste in cementitious and gypsum composites for sustainable construction materials,2025,Discover Sustainability,"Litu, M. and Ali, M.F. and Shabur, M.A. and Taimullah, M. and Arnob, F.M.",10.1007/s43621-025-01040-z,Residuos: Residuos sólidos
