title,year,journal,authors,doi,labels
3D-printable circular composites as sustainable leather alternative for the valorization of tanneries' solid waste,2025,Applied Materials Today,"Venturelli, G. and Guida, L. and Fasani, M.G.T. and Mantero, S. and Petrini, P. and Levi, M.",10.1016/j.apmt.2025.102776,Tipo de valorización: Valorización química
Adsorption of Cr(VI) by wet blue leather: Sustainable solution for leather industry effluents,2025,Journal of Water Process Engineering,"Pasquali, E.A. and Demaman Oro, C.E. and Bernardi, J.L. and Venquiaruto, L.D. and Treichel, H. and Mossi, A.J. and Dallago, R.M.",10.1016/j.jwpe.2024.106807,Producto: Materiale
Adsorption of Cr(VI) by wet blue leather: Sustainable solution for leather industry effluents,2025,Journal of Water Process Engineering,"Pasquali, E.A. and Demaman Oro, C.E. and Bernardi, J.L. and Venquiaruto, L.D. and Treichel, H. and Mossi, A.J. and Dallago, R.M.",10.1016/j.jwpe.2024.106807,Residuos: Residuos sólidos
Adsorption of Cr(VI) by wet blue leather: Sustainable solution for leather industry effluents,2025,Journal of Water Process Engineering,"Pasquali, E.A. and Demaman Oro, C.E. and Bernardi, J.L. and Venquiaruto, L.D. and Treichel, H. and Mossi, A.J. and Dallago, R.M.",10.1016/j.jwpe.2024.106807,Residuos: Residuos con cromo
Adsorption of Cr(VI) by wet blue leather: Sustainable solution for leather industry effluents,2025,Journal of Water Process Engineering,"Pasquali, E.A. and Demaman Oro, C.E. and Bernardi, J.L. and Venquiaruto, L.D. and Treichel, H. and Mossi, A.J. and Dallago, R.M.",10.1016/j.jwpe.2024.106807,Tipo de valorización: Aplicaciones ambientales
Tannery waste-derived biochar as a carrier of micronutrients essential to plants,2022,Chemosphere,"Skrzypczak, D. and Szopa, D. and Mikula, K. and Izydorczyk, G. and Baśladyńska, S. and Hoppe, V. and Pstrowska, K. and Wzorek, Z. and Kominko, H. and Kułażyński, M. and Moustakas, K. and Chojnacka, K. and Witek – Krowiak, A.",10.1016/j.chemosphere.2022.133720,Residuos: Residuos sólidos
Tannery waste-derived biochar as a carrier of micronutrients essential to plants,2022,Chemosphere,"Skrzypczak, D. and Szopa, D. and Mikula, K. and Izydorczyk, G. and Baśladyńska, S. and Hoppe, V. and Pstrowska, K. and Wzorek, Z. and Kominko, H. and Kułażyński, M. and Moustakas, K. and Chojnacka, K. and Witek – Krowiak, A.",10.1016/j.chemosphere.2022.133720,Residuos: Residuos con cromo
Tannery waste-derived biochar as a carrier of micronutrients essential to plants,2022,Chemosphere,"Skrzypczak, D. and Szopa, D. and Mikula, K. and Izydorczyk, G. and Baśladyńska, S. and Hoppe, V. and Pstrowska, K. and Wzorek, Z. and Kominko, H. and Kułażyński, M. and Moustakas, K. and Chojnacka, K. and Witek – Krowiak, A.",10.1016/j.chemosphere.2022.133720,Producto: Productos agrícolas
Tannery waste-derived biochar as a carrier of micronutrients essential to plants,2022,Chemosphere,"Skrzypczak, D. and Szopa, D. and Mikula, K. and Izydorczyk, G. and Baśladyńska, S. and Hoppe, V. and Pstrowska, K. and Wzorek, Z. and Kominko, H. and Kułażyński, M. and Moustakas, K. and Chojnacka, K. and Witek – Krowiak, A.",10.1016/j.chemosphere.2022.133720,Tipo de valorización: Valorización térmica
"Effect of particle size of leather wastes on the processing, vulcanization, and physico-mechanical properties of natural rubber/leather wastes composites",2022,Journal of Composite Materials,"Urrego Yepes, W. and Cardona, N. and Velasquez, S.M. and Giraldo Vásquez, D.H. and Posada, J.C.",10.1177/00219983211047691,Producto: Materiale
