title,year,journal,authors,doi
Efect of lnf (Cna-cnb) enzyme complex in the drying process and the coffee quality,2020,Coffee Science,"Santos, D.F. and Franco Junior, K.S. and da Silva, C.H. and Neto, J.F.D.S. and Paiva, L.C. and Brigante, G.P.",10.25186/.v15i.1677
Thermophysical properties of parchment coffee: New Colombian varieties,2023,Journal of Food Process Engineering,"Duque-Dussán, E. and Sanz-Uribe, J.R. and Dussán-Lubert, C. and Banout, J.",10.1111/jfpe.14300
Sensory analysis of coffee dried with and without stirring,2018,Coffee Science,"Ribeiro, B.B. and de Medeiros Câmara, F.M. and Mendes, A.N.G. and da Silva, V.A. and Montanari, F.F.",10.25186/cs.v13i4.1472
Mathematical modeling of dehydration resistance of pericarp tissues and endosperm in fruits of Arabic coffee,2020,Coffee Science,"Dias, C.A. and de Andrade, E.T. and Lemos, I.À. and Borém, F.M. and Westerich, D.N. and da Silva, A.C.A.",10.25186/.v15i.1670
