title,authors,year,journal,doi,labels,appears_in_multiple_labels,downloaded
Thin-layer drying of parchment Arabica coffee by controlling temperature and relative humidity,"Phitakwinai, S. and Thepa, S. and Nilnont, W.",2019,Food Science and Nutrition,10.1002/fsn3.1144,mechanical_drying,True,no
Microstructure and reconstitution of freeze-dried gum Arabic at a range of concentrations and primary drying temperatures,"Malik, N. and Muttakin, S. and Lopez-Quiroga, E. and Watson, N.J. and Fryer, P.J. and Bakalis, S. and Gouseti, O.",2020,Food Hydrocolloids,10.1016/j.foodhyd.2020.105712,mechanical_drying,True,no
Activation Energy Analysis of Coffee Beans Drying Using Double Condenser Refrigeration System,"Dzaky, M.I. and Kosasih, E.A. and Fauzi, M.B. and Prabowo, A.T. and Zikri, A. and Wibowo F.C. and Taufik null and Samsudin A. and Budi E. and Indrasari W. and Nasbey H. and Prayitno T.B. and Bakri F. and Muliyati D. and Sanjaya L.A.",2022,Journal of Physics: Conference Series,10.1088/1742-6596/2377/1/012058,mechanical_drying,True,no
Quality of natural coffee dried under different temperatures and drying rates,"Borém, F.M. and Isquierdo, E.P. and Alves, G.E. and Ribeiro, D.E. and Siqueira, V.C. and Taveira, J.H.S.",2018,Coffee Science,10.25186/cs.v13i2.1410,mechanical_drying,True,no
The influence of hot-air mechanical drying on the sensory quality of specialty Colombian coffee,"Largo-Avila, E. and Suarez-Rodríguez, C.H. and Montero, J.L. and Strong, M. and Juan, O.-A.",2023,AIMS Agriculture and Food,10.3934/AGRFOOD.2023042,mechanical_drying,True,no
Effect of spray-drying conditions on moisture content and particle size of coffee extract in a prototype dryer,"Villegas-Santiago, J. and Gómez-Navarro, F. and Domínguez-Niño, A. and García-Alvarado, M.A. and Salgado-Cervantes, M.A. and Luna-Solano, G.",2020,Revista Mexicana de Ingeniera Quimica,10.24275/rmiq/Proc767,mechanical_drying,True,no
Enhancing rotary dryer efficiency: Adjusting blower speed for optimal temperature stability in coffee bean drying,"Syamsiana, I.N. and Nafisah, N. and Suma, A.D.W. and Fiernaningsih, N. and Amalia, R.N. and Nurwicaksana, W.A.",2025,MethodsX,10.1016/j.mex.2025.103477,mechanical_drying,True,no
Comparative analysis of drying coffee beans using microwave and conventional oven,"Muñoz-neira, M.J. and Roa-ardila, M.F. and Correa-celi, C.R.",2020,Revista Facultad de Ingenieria,10.17533/udea.redin.20191151,mechanical_drying,True,no
Economic analysis of low-temperature grain drying,"Santana, P.A. and de Carvalho Lopes, D. and Neto, A.J.S.",2019,Emirates Journal of Food and Agriculture,10.9755/ejfa.2019.v31.i12.2040,mechanical_drying,True,no
Modeling effectiveness analysis of momentum and heat transfer in a fixed bed silo-dryer through computational fluid-dynamics,"Mateus, F.L.B. and Júnior, I.P.",2021,Coffee Science,10.25186/.V16I.1902,mechanical_drying,True,no
