title,authors,year,journal,doi,labels,appears_in_multiple_labels,downloaded
Enhancing rotary dryer efficiency: Adjusting blower speed for optimal temperature stability in coffee bean drying,"Syamsiana, I.N. and Nafisah, N. and Suma, A.D.W. and Fiernaningsih, N. and Amalia, R.N. and Nurwicaksana, W.A.",2025,MethodsX,10.1016/j.mex.2025.103477,coffee_drying_stage,True,no
Endocarp analysis of a traditional variety of colombian coffee,"Muñoz, M. and Roa, M. and Correa, R.",2019,Coffee Science,10.25186/cs.v14i2.1572,coffee_drying_stage,True,no
Comparative analysis of drying coffee beans using microwave and conventional oven,"Muñoz-neira, M.J. and Roa-ardila, M.F. and Correa-celi, C.R.",2020,Revista Facultad de Ingenieria,10.17533/udea.redin.20191151,coffee_drying_stage,True,no
Economic analysis of low-temperature grain drying,"Santana, P.A. and de Carvalho Lopes, D. and Neto, A.J.S.",2019,Emirates Journal of Food and Agriculture,10.9755/ejfa.2019.v31.i12.2040,coffee_drying_stage,True,no
Modeling effectiveness analysis of momentum and heat transfer in a fixed bed silo-dryer through computational fluid-dynamics,"Mateus, F.L.B. and Júnior, I.P.",2021,Coffee Science,10.25186/.V16I.1902,coffee_drying_stage,True,no
Physiological and sensorial quality of arabica coffee subjected to different temperatures and drying airflows,"Alves, G.E. and Borém, F.M. and Isquierdo, E.P. and Siqueira, V.C. and Cirillo, M.Â. and Pinto, A.C.F.",2017,Acta Scientiarum - Agronomy,10.4025/actasciagron.v39i2.31065,coffee_drying_stage,True,no
Experimental Analysis and Numerical Simulation of Coffee Bean Drying in Packed Beds with Different Coffee Bean Stack Height,"Fauzi, M.B. and Kosasih, E.A. and Dzaky, M.I. and Nasution, G.G. and Zikri, A.",2025,Journal of Advanced Research in Fluid Mechanics and Thermal Sciences,10.37934/arfmts.128.2.122138,coffee_drying_stage,True,no
"Influence of Drying Methods on the Post-Harvest Quality of Coffee: Effects on Physicochemical, Sensory, and Microbiological Composition","Abreu, D.J.M.D. and Lorenço, M.S. and Machado, G.G.L. and Silva, J.M. and Azevedo, E.C.D. and Carvalho, E.E.N.",2025,Foods,10.3390/foods14091463,coffee_drying_stage,True,no
Improving Coffee Bean Drying Performance Using Polydryer (Dryer Assisted with Superabsorbent Polymer),"Abidin, A.Z. and Steven, S. and Yemensia, E.V. and Satyodriyani, K.R. and Syahriani, W.F. and Abidin, T. and Putra, R.P.",2024,International Journal of Chemical Engineering,10.1155/2024/1559845,coffee_drying_stage,True,no
The influence of natrural fermentation on coffee drink quality,"Pereira, L.F.B. and Franco Junior, K.S. and Barbosa, C.K.R.",2020,Coffee Science,10.25186/.v15i.1673,coffee_drying_stage,True,no
