title,year,journal,authors,doi
Enhancing the performance of conventional coffee beans drying with low-temperature geothermal energy by applying HPHE: An experimental study,2021,Open Agriculture,"Gunawan, Y. and Margono, K.T. and Rizky, R. and Putra, N. and Faqih, R.A. and Hakim, I.I. and Setiadanu, G.T. and Suntoro, D. and Kasbi, S. and Nafis, S.",10.1515/opag-2021-0053
"Effectiveness of a coffee drying process using solar dryers with a continuous air flow system powered by photovoltaic energy, in the San Martín region, Peru",2019,Informacion Tecnologica,"Prada, Á. and Vela, C.P. and Bardález, G. and Saavedra, J.",10.4067/S0718-07642019000600085
Performance Analysis and Kinetic Modeling of Coffee Beans in Microwave Convective Dryer Integrated Photovoltaic System,2022,Mathematical Modelling of Engineering Problems,"Kusmiyati, K. and Fudholi, A.",10.18280/mmep.090427
Drying gayo coffee under natural processing by using modified Hohenheim solar tunnel dryer in Gayo highland,2024,IOP Conference Series: Earth and Environmental Science,"Khathir, R. and Yunita, Y. and Agustina, R. and Jayanti, D.S. and Siagian, A.",10.1088/1755-1315/1297/1/012018
Performance Investigation of an Inflatable Solar Dryer with Steel-Can Solar Air Heater for Drying Coffee and Corn,2022,"Engineering, Technology and Applied Science Research","Oria, C.L. and Palconit, E.V.",10.48084/etasr.4966
Coffee beans industrial vibrofluidized bed drying optimization (coffea arabica L.),2019,Revista Mexicana de Ingeniera Quimica,"Ventura-Cruz, S. and Ramírez-Segura, O. and Flores-Alamo, N. and Ramírez-Gerardo, M. and Rodríguez-Ramírez, E.",10.24275/uam/izt/dcbi/revmexingquim/2019v18n2/Ventura
Microstructure and reconstitution of freeze-dried gum Arabic at a range of concentrations and primary drying temperatures,2020,Food Hydrocolloids,"Malik, N. and Muttakin, S. and Lopez-Quiroga, E. and Watson, N.J. and Fryer, P.J. and Bakalis, S. and Gouseti, O.",10.1016/j.foodhyd.2020.105712
Effect of spray-drying conditions on moisture content and particle size of coffee extract in a prototype dryer,2020,Revista Mexicana de Ingeniera Quimica,"Villegas-Santiago, J. and Gómez-Navarro, F. and Domínguez-Niño, A. and García-Alvarado, M.A. and Salgado-Cervantes, M.A. and Luna-Solano, G.",10.24275/rmiq/Proc767
