title,year,journal,authors,doi
Comparison of Spectroscopy-Based Methods and Chemometrics to Confirm Classification of Specialty Coffees,2022,Foods,"Belchior, V. and Botelho, B.G. and Franca, A.S.",10.3390/foods11111655
Specialty and regular coffee bean quality for cold and hot brewing: Evaluation of sensory profile and physicochemical characteristics,2021,LWT,"Córdoba, N. and Moreno, F.L. and Osorio, C. and Velásquez, S. and Fernandez-Alduenda, M. and Ruiz-Pardo, Y.",10.1016/j.lwt.2021.111363
