title,year,journal,authors,doi
Energy analysis of a hybrid solar dryer for drying coffee beans,2020,International Journal of Renewable Energy Development,"Suherman, S. and Widuri, H. and Patricia, S. and Susanto, E.E. and Sutrisna, R.J.",10.14710/ijred.9.1.131-139
Free electricity tandem-twin-hybrid solar-biomass dryer increased the performance of coffee cherry drying,2025,Research in Agricultural Engineering,"YUWANA, Y. and SYAFNIL, S.",10.17221/98/2024-RAE
PHOTOVOLTAIC PLANT TO SUPPLY ENERGY FOR AN ELECTRIC COFFEE DRYER - ENERGY COSTS AND COMPENSATION,2023,Engenharia Agricola,"Konopatzki, E.A. and de Oliveira, C.L. and Marangoni, F. and Edwiges, T. and Christ, D.",10.1590/1809-4430-Eng.Agric.v43nepe20220150/2023
Economic analysis of low-temperature grain drying,2019,Emirates Journal of Food and Agriculture,"Santana, P.A. and de Carvalho Lopes, D. and Neto, A.J.S.",10.9755/ejfa.2019.v31.i12.2040
